id,id_v2,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=p2. [Answer format: plain string]",OK,text,"""p2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=pe1. [Answer format: plain string]",OK,text,"""pe1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=p1. [Answer format: plain string]",OK,text,"""p1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=leaf3. [Answer format: plain string]",OK,text,"""leaf3""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=p4. [Answer format: plain string]",OK,text,"""p4""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=leaf1. [Answer format: plain string]",OK,text,"""leaf1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=p3. [Answer format: plain string]",OK,text,"""p3""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
SYSTEM_HOSTNAME_TEXT_leaf4,system_hostname_text:45a2dbebe1,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=leaf4. [Answer format: plain string]",OK,text,"""leaf4""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=pe2. [Answer format: plain string]",OK,text,"""pe2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,System_Inventory,L1,"For metric 'system_hostname_text', provide the result for host=leaf2. [Answer format: plain string]",OK,text,"""leaf2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
SYSTEM_VERSION_TEXT_p4,system_version_text:8eb660897d,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=p4. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
SYSTEM_VERSION_TEXT_p1,system_version_text:980d4425bd,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=p1. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
SYSTEM_VERSION_TEXT_pe2,system_version_text:3603999311,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=pe2. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
SYSTEM_VERSION_TEXT_leaf4,system_version_text:45a2dbebe1,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=leaf4. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
SYSTEM_VERSION_TEXT_p3,system_version_text:40d255b5d8,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=p3. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
SYSTEM_VERSION_TEXT_leaf1,system_version_text:f3e677391b,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=leaf1. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
SYSTEM_VERSION_TEXT_pe1,system_version_text:4f36bb8808,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=pe1. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
SYSTEM_VERSION_TEXT_leaf3,system_version_text:6a7c231d8b,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=leaf3. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
SYSTEM_VERSION_TEXT_p2,system_version_text:f84ad4329a,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=p2. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
