question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,p5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p5""",P5,1.0,1.0,1.0,0.9875400066375732,1.0,1.0,0.0
2,L1,System_Inventory,text,OK,p1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p1""",P1,1.0,1.0,1.0,0.991120457649231,1.0,1.0,0.0
3,L1,System_Inventory,text,OK,leaf6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf6""",Leaf6,1.0,1.0,1.0,0.9893209934234619,1.0,1.0,0.0
4,L1,System_Inventory,text,OK,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe3""",PE3,1.0,1.0,1.0,0.9952376484870911,1.0,1.0,0.0
5,L1,System_Inventory,text,OK,p8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p8""",P8,1.0,1.0,1.0,0.9873655438423157,1.0,1.0,0.0
6,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf2""",Leaf2,1.0,1.0,1.0,0.9971694946289062,1.0,1.0,0.0
7,L1,System_Inventory,text,OK,leaf12 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf12""",Leaf12,1.0,1.0,1.0,0.9968727827072144,1.0,1.0,0.0
8,L1,System_Inventory,text,OK,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf8""",Leaf8,1.0,1.0,1.0,0.9961609840393066,1.0,1.0,0.0
9,L1,System_Inventory,text,OK,leaf7 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf7""",Leaf7,1.0,1.0,1.0,0.986812174320221,1.0,1.0,0.0
10,L1,System_Inventory,text,OK,p10 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p10""",P10,1.0,1.0,1.0,0.9940623641014099,1.0,1.0,0.0
11,L1,System_Inventory,text,OK,leaf5 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf5""",Leaf5,1.0,1.0,1.0,0.9913218021392822,1.0,1.0,0.0
12,L1,System_Inventory,text,OK,pe2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe2""",PE2,1.0,1.0,1.0,0.9976427555084229,1.0,1.0,0.0
13,L1,System_Inventory,text,OK,pe6 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe6""",PE6,1.0,1.0,1.0,0.9977728128433228,1.0,1.0,0.0
14,L1,System_Inventory,text,OK,p7 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p7""",P7,1.0,1.0,1.0,0.9970453977584839,1.0,1.0,0.0
15,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p2""",P2,1.0,1.0,1.0,0.9925471544265747,1.0,1.0,0.0
16,L1,System_Inventory,text,OK,pe4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""pe4""",PE4,1.0,1.0,1.0,0.995976448059082,1.0,1.0,0.0
17,L1,System_Inventory,text,OK,asbr2 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""asbr2""",ASBR2,1.0,1.0,1.0,0.953457236289978,1.0,1.0,0.0
18,L1,System_Inventory,text,OK,leaf9 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf9""",Leaf9,1.0,1.0,1.0,0.9967715740203857,1.0,1.0,0.0
19,L1,System_Inventory,text,OK,p4 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""p4""",P4,1.0,1.0,1.0,0.974138617515564,1.0,1.0,0.0
20,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],"""leaf1""",Leaf1,1.0,1.0,1.0,0.9968827962875366,1.0,1.0,0.0
21,L1,System_Inventory,text,OK,p1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
22,L1,System_Inventory,text,OK,p9 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
23,L1,System_Inventory,text,OK,p10 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
24,L1,System_Inventory,text,OK,leaf7 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
25,L1,System_Inventory,text,OK,p2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
26,L1,System_Inventory,text,OK,p6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
27,L1,System_Inventory,text,OK,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
28,L1,System_Inventory,text,OK,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
29,L1,System_Inventory,text,OK,pe3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
30,L1,System_Inventory,text,OK,p5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
31,L1,System_Inventory,text,OK,leaf5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
32,L1,System_Inventory,text,OK,leaf8 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
33,L1,System_Inventory,text,OK,pe4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
34,L1,System_Inventory,text,OK,asbr2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
35,L1,System_Inventory,text,OK,pe6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],"""15.7""",15.7,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0
