id,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf1 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['leaf1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf2 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['leaf2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p4 장비의 호스트네임은 무엇입니까?,OK,text,"""p4""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['p4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p2 장비의 호스트네임은 무엇입니까?,OK,text,"""p2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['p2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,pe2 장비의 호스트네임은 무엇입니까?,OK,text,"""pe2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['pe2.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p3 장비의 호스트네임은 무엇입니까?,OK,text,"""p3""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['p3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf4 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf4""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['leaf4.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,pe1 장비의 호스트네임은 무엇입니까?,OK,text,"""pe1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['pe1.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,leaf3 장비의 호스트네임은 무엇입니까?,OK,text,"""leaf3""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['leaf3.cfg']
SYSTEM_HOSTNAME_TEXT,System_Inventory,L1,p1 장비의 호스트네임은 무엇입니까?,OK,text,"""p1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['p1.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,p4 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['p4.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,p3 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['p3.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,pe2 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['pe2.cfg']
SYSTEM_VERSION_TEXT,System_Inventory,L1,leaf4 장비의 운영체제(OS) 버전은 무엇입니까?,OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""{host}""}}",cd91e97,['leaf4.cfg']
