question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
1,L1,System_Inventory,text,OK,leaf14 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf14""",Leaf14,1.0,1.0,1.0,0.9037954211235046,0.0,0.0,0.0
2,L1,System_Inventory,text,OK,fw2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""fw2""",FW2,1.0,1.0,1.0,0.9688353538513184,0.0,0.0,0.0
3,L1,System_Inventory,text,OK,leaf15 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf15""",Leaf15,1.0,1.0,1.0,0.9134252071380615,0.0,0.0,0.0
4,L1,System_Inventory,text,OK,pe5 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe5""",PE5,1.0,1.0,1.0,0.9649794101715088,0.0,0.0,0.0
5,L1,System_Inventory,text,OK,p3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p3""",P3,1.0,1.0,1.0,0.9644357562065125,0.0,0.0,0.0
6,L1,System_Inventory,text,OK,p2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p2""",P2,1.0,1.0,1.0,0.976568877696991,0.0,0.0,0.0
7,L1,System_Inventory,text,OK,p8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p8""",P8,1.0,1.0,1.0,0.9726575016975403,0.0,0.0,0.0
8,L1,System_Inventory,text,OK,leaf16 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf16""",Leaf16,1.0,1.0,1.0,0.9039293527603149,0.0,0.0,0.0
9,L1,System_Inventory,text,OK,leaf1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf1""",Leaf1,1.0,1.0,1.0,0.8935976028442383,0.0,0.0,0.0
10,L1,System_Inventory,text,OK,pe1 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe1""",PE1,1.0,1.0,1.0,0.9613978266716003,0.0,0.0,0.0
11,L1,System_Inventory,text,OK,p10 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p10""",P10,1.0,1.0,1.0,0.9681842923164368,0.0,0.0,0.0
12,L1,System_Inventory,text,OK,p6 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p6""",P6,1.0,1.0,1.0,0.971676230430603,0.0,0.0,0.0
13,L1,System_Inventory,text,OK,p12 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""p12""",P12,1.0,1.0,1.0,0.9600027799606323,0.0,0.0,0.0
14,L1,System_Inventory,text,OK,leaf8 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf8""",Leaf8,1.0,1.0,1.0,0.9026337265968323,0.0,0.0,0.0
15,L1,System_Inventory,text,OK,leaf2 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""leaf2""",Leaf2,1.0,1.0,1.0,0.9003494381904602,0.0,0.0,0.0
16,L1,System_Inventory,text,OK,pe3 장비의 호스트네임은 무엇입니까? [답변 형식: 정확한 값만],"""pe3""",PE3,1.0,1.0,1.0,0.9492052793502808,0.0,0.0,0.0
