id,category,answer_type,level,question,ground_truth,explanation,source_files
ALL_DEVICES_SAME_AS_0001,Comparison_Analysis,boolean,L3,"모든 장비가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,metric `all_devices_same_as` on type=GLOBAL → false,"CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
BGP_AS_DISTRIBUTION_0001,Comparison_Analysis,map,L3,"각 AS별 장비 수 분포를 알려주세요.
[답변 형식: 키=값 형식 목록 (없으면 '없음')]",없음,metric `bgp_as_distribution` on type=GLOBAL → 없음,"CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0001,Comparison_Analysis,boolean,L3,"CE01과 CE02가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE01, host2=CE02, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0002,Comparison_Analysis,boolean,L3,"CE01과 CE03가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE01, host2=CE03, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0003,Comparison_Analysis,boolean,L3,"CE01과 CE04가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE01, host2=CE04, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0004,Comparison_Analysis,boolean,L3,"CE01과 P01가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE01, host2=P01, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0005,Comparison_Analysis,boolean,L3,"CE01과 P04가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE01, host2=P04, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0006,Comparison_Analysis,boolean,L3,"CE01과 PE02가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE01, host2=PE02, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0007,Comparison_Analysis,boolean,L3,"CE01과 PE03가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE01, host2=PE03, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0008,Comparison_Analysis,boolean,L3,"CE02과 CE03가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE02, host2=CE03, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0009,Comparison_Analysis,boolean,L3,"CE02과 CE04가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE02, host2=CE04, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0010,Comparison_Analysis,boolean,L3,"CE02과 P01가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE02, host2=P01, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0011,Comparison_Analysis,boolean,L3,"CE02과 P04가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE02, host2=P04, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0012,Comparison_Analysis,boolean,L3,"CE02과 PE02가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE02, host2=PE02, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0013,Comparison_Analysis,boolean,L3,"CE02과 PE03가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE02, host2=PE03, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0014,Comparison_Analysis,boolean,L3,"CE03과 CE04가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE03, host2=CE04, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0015,Comparison_Analysis,boolean,L3,"CE03과 P01가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE03, host2=P01, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
COMPARE_BGP_AS_0016,Comparison_Analysis,boolean,L3,"CE03과 P04가 같은 BGP AS에 속해 있습니까?
[답변 형식: true/false (소문자)]",false,"metric `compare_bgp_as` on host1=CE03, host2=P04, type=DEVICE_PAIR → false","CE01.xml, CE02.xml, CE03.xml, CE04.xml, P01.xml, P04.xml, PE02.xml, PE03.xml"
