question_id,level,category,type,status,question,gold,pred,type_aware_score,exact_match,token_f1,bertscore_f1,rougeL,rouge1,rouge2
,,,set,,Please provide the list of local users registered on the leaf2 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the hostname of the leaf4 device? [Answer format: exact value only],leaf4,,1.0,1.0,1.0,0.9140824675559998,1.0,1.0,0.0
,,,text,,What is the hostname of the p4 device? [Answer format: exact value only],p4,,1.0,1.0,1.0,0.9747598767280579,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the leaf2 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the leaf3 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p1 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,text,,What is the hostname of the p1 equipment? [Answer format: exact value only],p1,,1.0,1.0,1.0,0.9761627912521362,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the leaf2 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,set,,Please provide the list of local users registered on the leaf1 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the leaf3 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,text,,What is the hostname of the leaf3 device? [Answer format: exact value only],leaf3,,1.0,1.0,1.0,0.9126583337783813,1.0,1.0,0.0
,,,set,,Please provide the list of local users registered on the leaf4 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the hostname of the leaf1 device? [Answer format: exact value only],leaf1,,1.0,1.0,1.0,0.893597424030304,1.0,1.0,0.0
,,,text,,What is the hostname of the p3 equipment? [Answer format: exact value only],p3,,1.0,1.0,1.0,0.9644356966018677,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the leaf4 device? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,set,,Please provide the list of local users registered on the p4 equipment. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,numeric,,How many local users are registered on the leaf1 device? [Answer format: number],1,,1.0,1.0,1.0,1.000000238418579,1.0,1.0,0.0
,,,text,,What is the hostname of the p2 equipment? [Answer format: exact value only],p2,,1.0,1.0,1.0,0.9765691757202148,1.0,1.0,0.0
,,,set,,Please provide the list of local users registered on the p3 device. [Answer format: list],[admin],,1.0,0.0,0.0,0.937130331993103,1.0,1.0,0.0
,,,text,,What is the operating system (OS) version of the p4 equipment? [Answer format: exact value only],15.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
